Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
A Serious Man,2009,"Directors:Ethan Coen, Joel Coen","Michael Stuhlbarg, Richard Kind, Sari Lennick, Fred Melamed",7.0,106,Drama,2009-11-06,"Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking."
Rabbit Hole,2010,John Cameron Mitchell,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Miles Teller",7.0,91,Drama,2010-01-28,Life for a happy couple is turned upside down after their young son dies in an accident.
Suite Française,2014,Saul Dibb,"Michelle Williams, Kristin Scott Thomas, Margot Robbie, Eric Godon",7.0,107,Drama,2014-03-13,"During the early years of Nazi occupation of France in World War II, romance blooms between Lucile Angellier (Michelle Williams), a French villager, and Lieutenant Bruno von Falk (Matthias Schoenaerts), a German soldier."
The Kids Are All Right,2010,Lisa Cholodenko,"Annette Bening, Julianne Moore, Mark Ruffalo, Mia Wasikowska",7.0,106,Comedy,2010-07-30,Two children conceived by artificial insemination bring their biological father into their non-traditional family life.
Marley & Me,2008,David Frankel,"Owen Wilson, Jennifer Aniston, Eric Dane, Kathleen Turner",7.0,111,Comedy,2008-12-25,"A family learns important life lessons from their adorable, but naughty and neurotic dog."
We Are Marshall,2006,McG,"Matthew McConaughey, Matthew Fox, Anthony Mackie, David Strathairn",7.0,131,Drama,2006-12-22,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive."
Angel-A,2005,Luc Besson,"Rie Rasmussen, Jamel Debbouze, Gilbert Melki, Serge Riaboukine",7.0,91,Comedy,2005-12-21,A beautiful woman helps an inept scam artist get his game together.
Waitress,2007,Adrienne Shelly,"Keri Russell, Nathan Fillion, Jeremy Sisto, Cheryl Hines",7.0,108,Comedy,2007-05-25,"Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness."
P.S. I Love You,2007,Richard LaGravenese,"Hilary Swank, Gerard Butler, Harry Connick Jr., Lisa Kudrow",7.0,126,Comedy,2007-12-21,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.
Hard Candy,2005,David Slade,"Patrick Wilson, Elliot Page, Sandra Oh, Odessa Rae",7.0,104,Drama,2005-04-28,"Hayley's a smart, charming teenage girl. Jeff's a handsome, smooth fashion photographer. An Internet chat, a coffee shop meet-up, an impromptu fashion shoot back at Jeff's place. Jeff thinks it's his lucky night. He's in for a sur..."
The Merchant of Venice,2004,Michael Radford,"Al Pacino, Joseph Fiennes, Lynn Collins, Jeremy Irons",7.0,131,Drama,2004-02-18,"In 16th century Venice, when a merchant must default on a large loan from an abused Jewish moneylender for a friend with romantic ambitions, the bitterly vengeful creditor demands a gruesome payment instead."
Coffee and Cigarettes,2003,Jim Jarmusch,"Bill Murray, Tom Waits, Roberto Benigni, RZA",7.0,95,Comedy,2003-06-11,A series of vignettes that all have coffee and cigarettes in common.
An Unfinished Life,2005,Lasse Hallström,"Jennifer Lopez, Robert Redford, Morgan Freeman, Josh Lucas",7.0,108,Drama,2005-09-16,"Desperate to provide care for her daughter, down-on-her-luck Jean moves in with her father in-law from whom she is estranged. Through time, they learn to forgive each other and heal old wounds."
If Only,2004,Gil Junger,"Jennifer Love Hewitt, Paul Nicholls, Tom Wilkinson, Diana Hardcastle",7.0,92,Comedy,2004-07-15,It takes a tragedy to teach the young businessman Ian to put love ahead of work and open up to his musician girlfriend Samantha.
The Quiet American,2002,Phillip Noyce,"Michael Caine, Brendan Fraser, Thi Hai Yen Do, Rade Serbedzija",7.0,101,Drama,2002-03-07,An old British reporter vies with a young U.S. doctor for the affections of a beautiful Vietnamese woman.
Mohabbatein,2000,Aditya Chopra,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj",7.0,216,Musical,2000-10-27,"A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples."
Tigerland,2000,Joel Schumacher,"Colin Farrell, Matthew Davis, Clifton Collins Jr., Tom Guiry",7.0,101,Drama,2000-05-24,"A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971."
Ever After,1998,Andy Tennant,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey",7.0,121,Comedy,1998-06-21,It has been two years since a zombie virus epidemic infected all but two German cities. Vivi and Eva flee the struggling community in Weimar for the one other safe-haven: Jena.
Kids,1995,Larry Clark,"Leo Fitzpatrick, Justin Pierce, Chloë Sevigny, Sarah Henderson",7.0,91,Drama,1995-09-01,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins."
Grumpy Old Men,1993,Donald Petrie,"Jack Lemmon, Walter Matthau, Ann-Margret, Burgess Meredith",7.0,103,Comedy,1993-12-25,A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.
My Own Private Idaho,1991,Gus Van Sant,"River Phoenix, Keanu Reeves, James Russo, William Richert",7.0,104,Drama,1991-07-20,Two best friends living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.
Parenthood,1989,Ron Howard,"Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards",7.0,124,Comedy,1989-08-02,Three Buckman siblings attempt to raise their children - each in their own different style - and deal with the joys and sorrows that the process brings.
Some Kind of Wonderful,1987,Howard Deutch,"Eric Stoltz, Mary Stuart Masterson, Lea Thompson, Craig Sheffer",7.0,95,Drama,1987-02-27,"When Keith goes out with Amanda, the girl of his dreams, Amanda's ex-boyfriend plans to get back at Keith. Meanwhile, Keith's best friend, tomboy Watts, realizes she has feelings for Keith."
Dirty Dancing,1987,Emile Ardolino,"Patrick Swayze, Jennifer Grey, Jerry Orbach, Cynthia Rhodes",7.0,100,Drama,1987-08-21,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
The Color of Money,1986,Martin Scorsese,"Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver",7.0,119,Drama,1986-10-17,"Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback."
An Officer and a Gentleman,1982,Taylor Hackford,"Richard Gere, Debra Winger, David Keith, Robert Loggia",7.0,124,Drama,1982-08-13,"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend."
The Way We Were,1973,Sydney Pollack,"Barbra Streisand, Robert Redford, Bradford Dillman, Lois Chiles",7.0,118,Drama,1973-10-19,"During post-WWII McCarthyism, a diametrically opposed couple come together only to find out that genuine friendship and physical attraction is not enough to overcome fundamental societal beliefs."
The Half of It,2020,Alice Wu,"Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz",6.9,104,Comedy,2020-05-01,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush."
Climax,2018,Gaspar Noé,"Sofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile",6.9,97,Drama,2018-03-15,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD."
Blinded by the Light,2019,Gurinder Chadha,"Billy Barratt, Ronak Singh Chadha Berges, Viveik Kalra, Lee Barnett",6.9,118,Comedy,2019-08-16,"In England in 1987, a teenager from an Asian family learns to live his life, understand his family and find his own voice through the music of American rock star Bruce Springsteen."
Last Flag Flying,2017,Richard Linklater,"Bryan Cranston, Laurence Fishburne, Steve Carell, J. Quinton Johnson",6.9,125,Comedy,2017-11-03,"Thirty years after they served together in Vietnam, a former Navy Corpsman Larry ""Doc"" Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the ..."
Sorry to Bother You,2018,Boots Riley,"LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick",6.9,112,Comedy,2018-07-13,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed."
Swiss Army Man,2016,"Directors:Dan Kwan, Daniel Scheinert","Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",6.9,97,Comedy,2016-07-01,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home."
Finch,2021,Miguel Sapochnik,"Tom Hanks, Caleb Landry Jones, Marie Wagenman, Lora Martinez-Cunningham",6.9,115,Adventure,2021-11-05,"On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human."
Crazy Rich Asians,2018,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan",6.9,120,Comedy,2018-08-15,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family."
Camp X-Ray,2014,Peter Sattler,"Kristen Stewart, Payman Maadi, Lane Garrison, Tara Holt",6.9,117,Drama,2014-10-17,A soldier assigned to Guantanamo Bay befriends a man who has been imprisoned there.
2 States,2014,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathi",6.9,149,Comedy,2014-04-18,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Marnò",6.9,101,Drama,2014-04-20,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire."
Labor Day,2013,Jason Reitman,"Kate Winslet, Josh Brolin, Gattlin Griffith, Clark Gregg",6.9,111,Drama,2013-01-31,"Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited."
