Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
The Asphalt Jungle,1950,John Huston,"Sterling Hayden, Louis Calhern, Jean Hagen, James Whitmore",7.8,112,Crime,1950-05-12,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel."
Gaslight,1944,George Cukor,"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty",7.8,114,Crime,1944-06-16,"Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife..."
This Is England,2006,Shane Meadows,"Thomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim",7.7,101,Crime,2006-04-27,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
Zodiac,2007,David Fincher,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards",7.7,157,Crime,2007-03-02,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
Lucky Number Slevin,2006,Paul McGuigan,"Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu",7.7,110,Crime,2006-04-07,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they ge..."
Road to Perdition,2002,Sam Mendes,"Tom Hanks, Tyler Hoechlin, Rob Maxey, Liam Aiken",7.7,117,Crime,2002-07-12,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
Ocean's Eleven,2001,Steven Soderbergh,"George Clooney, Brad Pitt, Julia Roberts, Matt Damon",7.7,116,Crime,2001-12-07,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
"O Brother, Where Art Thou?",2000,"Directors:Joel Coen, Ethan Coen","George Clooney, John Turturro, Tim Blake Nelson, John Goodman",7.7,107,Adventure,2000-02-02,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
Primal Fear,1996,Gregory Hoblit,"Richard Gere, Laura Linney, Edward Norton, John Mahoney",7.7,129,Crime,1996-04-03,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
Glengarry Glen Ross,1992,James Foley,"Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin",7.7,100,Crime,1992-10-02,An examination of the machinations behind the scenes at a real estate office.
Miller's Crossing,1990,"Directors:Joel Coen, Ethan Coen","Gabriel Byrne, Albert Finney, John Turturro, Marcia Gay Harden",7.7,115,Crime,1990-10-05,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
Down by Law,1986,Jim Jarmusch,"Tom Waits, John Lurie, Roberto Benigni, Nicoletta Braschi",7.7,107,Comedy,1986-09-25,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
Blue Velvet,1986,David Lynch,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern",7.7,120,Crime,1986-10-23,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
Victoria,2015,Sebastian Schipper,"Laia Costa, Frederick Lau, Franz Rogowski, Burak Yigit",7.6,138,Crime,2015-06-11,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.
Highway,2014,Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar",7.6,133,Crime,2014-02-21,"Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper."
Les misérables,2019,Ladj Ly,"Damien Bonnard, Alexis Manenti, Djebril Zonga, Issa Perica",7.6,104,Crime,2019-12-25,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
Eastern Promises,2007,David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin",7.6,100,Crime,2007-09-21,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
Inside Man,2006,Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer",7.6,129,Crime,2006-03-24,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
Gone Baby Gone,2007,Ben Affleck,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan",7.6,114,Crime,2007-10-19,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
Dead Man's Shoes,2004,Shane Meadows,"Paddy Considine, Gary Stretch, Toby Kebbell, Stuart Wolfenden",7.6,90,Crime,2004-10-01,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.
Lord of War,2005,Andrew Niccol,"Nicolas Cage, Ethan Hawke, Jared Leto, Bridget Moynahan",7.6,122,Crime,2005-09-16,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.
Vera Drake,2004,Mike Leigh,"Imelda Staunton, Jim Broadbent, Heather Craney, Richard Graham",7.6,125,Crime,2004-02-04,Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain--a conflict that leads to tragedy for her family.
Kontroll,2003,Nimród Antal,"Sándor Csányi, Eszter Balla, Zoltán Mucsi, Csaba Pindroch",7.6,111,Comedy,2003-09-23,"In an attempt to control her life, Tina begins to routinely film herself"
21 Grams,2003,Alejandro G. Iñárritu,"Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston",7.6,124,Crime,2003-01-16,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
Traffic,2000,Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas",7.6,147,Crime,2000-01-05,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife ..."
American Psycho,2000,Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",7.6,102,Crime,2000-04-14,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Baazigar,1993,"Directors:Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Shah Rukh Khan, Kajol, Dalip Tahil, Rakhee Gulzar",7.6,175,Crime,1993-11-12,"A young man with a vendetta against a business tycoon seduces the man's younger daughter, but she begins to suspect her new lover's connection with her elder sister and his ulterior motive."
My Cousin Vinny,1992,Jonathan Lynn,"Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield",7.6,120,Comedy,1992-03-13,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
Delicatessen,1991,"Directors:Marc Caro, Jean-Pierre Jeunet","Marie-Laure Dougnac, Dominique Pinon, Pascal Benezech, Jean-Claude Dreyfus",7.6,99,Comedy,1991-04-03,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.
The Godfather Part III,1990,Francis Ford Coppola,"Al Pacino, Diane Keaton, Andy Garcia, Talia Shire",7.6,162,Crime,1990-12-25,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire."
The Naked Gun: From the Files of Police Squad!,1988,David Zucker,"Leslie Nielsen, Priscilla Presley, O.J. Simpson, Ricardo Montalban",7.6,85,Comedy,1988-12-02,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
After Hours,1985,Martin Scorsese,"Griffin Dunne, Rosanna Arquette, Verna Bloom, Tommy Chong",7.6,97,Comedy,1985-10-11,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.
Blood Simple,1984,"Directors:Joel Coen, Ethan Coen","John Getz, Frances McDormand, Dan Hedaya, M. Emmet Walsh",7.6,99,Crime,1984-01-18,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies, and mischief ensues after he devises a plot to have them murdered."
The Long Goodbye,1973,Robert Altman,"Elliott Gould, Nina van Pallandt, Sterling Hayden, Mark Rydell",7.6,112,Comedy,1973-03-08,"Private investigator Philip Marlowe helps a friend out of a jam, but in doing so gets implicated in his wife's murder."
West Side Story,1961,"Directors:Jerome Robbins, Robert Wise","Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn",7.6,153,Crime,1961-12-23,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
The Ladykillers,1955,Alexander Mackendrick,"Alec Guinness, Peter Sellers, Cecil Parker, Herbert Lom",7.6,91,Comedy,1955-03-26,"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady."
The 39 Steps,1935,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle",7.6,86,Crime,1935-07-31,"A man in London tries to help a counter-espionage agent, but when the agent is killed and the man stands accused, he must go on the run to save himself and stop a spy ring that is trying to steal top-secret information."
Promising Young Woman,2020,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown",7.5,113,Crime,2020-12-25,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path."
Sin nombre,2009,Cary Joji Fukunaga,"Paulina Gaitan, Marco Antonio Aguirre, Leonardo Alonso, Karla Cecilia Alvarado",7.5,96,Adventure,2009-04-17,A young Honduran girl and a Mexican gangster are united in a journey across the U.S. border.
The Town,2010,Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",7.5,125,Crime,2010-09-17,"A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire."
Perfume: The Story of a Murderer,2006,Tom Tykwer,"Ben Whishaw, Dustin Hoffman, Alan Rickman, Francesc Albiol",7.5,147,Crime,2006-01-05,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
Kiss Kiss Bang Bang,2005,Shane Black,"Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen",7.5,103,Comedy,2005-11-11,"After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery."
House of Sand and Fog,2003,Vadim Perelman,"Jennifer Connelly, Ben Kingsley, Ron Eldard, Frances Fisher",7.5,126,Crime,2003-01-09,An abandoned wife is evicted from her house and starts a tragic conflict with her house's new owners.
The Life of David Gale,2003,Alan Parker,"Kevin Spacey, Kate Winslet, Laura Linney, Cleo King",7.5,130,Crime,2003-02-21,A man against capital punishment is accused of murdering a fellow activist and is sent to death row.
The Man Who Wasn't There,2001,Joel Coen,"Billy Bob Thornton, Frances McDormand, Michael Badalucco, James Gandolfini",7.5,116,Crime,2001-11-16,"A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong."
Gangs of New York,2002,Martin Scorsese,"Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis, Jim Broadbent",7.5,167,Crime,2002-12-20,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
Ghost Dog: The Way of the Samurai,1999,Jim Jarmusch,"Forest Whitaker, Henry Silva, John Tormey, Cliff Gorman",7.5,116,Crime,1999-03-24,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.
Following,1998,Christopher Nolan,"Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan",7.5,69,Crime,1998-11-05,A young writer who follows strangers for material meets a thief who takes him under his wing.
A Simple Plan,1998,Sam Raimi,"Bill Paxton, Billy Bob Thornton, Bridget Fonda, Brent Briscoe",7.5,121,Crime,1998-01-22,"Three blue-collar acquaintances come across millions of dollars in lost cash and make a plan to keep their find from the authorities, but it isn't long before complications and mistrust weave their way into the plan."
Jackie Brown,1997,Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda",7.5,154,Crime,1997-12-25,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed."
Funny Games,1997,Michael Haneke,"Susanne Lothar, Ulrich Mühe, Arno Frisch, Frank Giering",7.5,108,Crime,1997-04-04,Two psychopathic young men take a family hostage in their cabin.
Sleepers,1996,Barry Levinson,"Robert De Niro, Kevin Bacon, Brad Pitt, Jason Patric",7.5,147,Crime,1996-10-18,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge."
